target_points,frames_used,car,tree,building,bbox_x,bbox_y,bbox_z,ply_path
3650000,788,457638,1613324,1579038,224.386,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3650k.ply
3700000,799,462021,1635919,1602060,237.738,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3700k.ply
3750000,807,465383,1663509,1621108,244.348,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3750k.ply
3800000,813,467211,1695904,1636885,249.559,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3800k.ply
3850000,820,468473,1729521,1652006,255.268,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3850k.ply
3900000,829,469635,1761690,1668675,263.153,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3900k.ply
3950000,842,475461,1785493,1689046,270.968,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_3950k.ply
4000000,853,482965,1805107,1711928,277.840,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4M.ply
4050000,862,488922,1825138,1735940,283.398,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4050k.ply
4100000,872,495320,1843073,1761607,292.027,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4100k.ply
4150000,883,498671,1861922,1789407,303.678,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4150k.ply
4200000,891,500828,1884772,1814400,311.200,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4200k.ply
4250000,899,503004,1912950,1834046,318.470,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4250k.ply
4300000,905,506030,1938503,1855467,324.048,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4300k.ply
4350000,911,508994,1964943,1876063,330.038,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4350k.ply
4400000,919,512430,1993346,1894224,337.310,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4400k.ply
4450000,927,515640,2026018,1908342,339.372,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4450k.ply
4500000,937,518041,2060740,1921219,349.591,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4500k.ply
4550000,945,522197,2091538,1936265,354.666,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4550k.ply
4600000,953,525972,2122003,1952025,357.377,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4600k.ply
4650000,962,530201,2150790,1969009,358.222,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4650k.ply
4700000,972,534364,2181082,1984554,358.222,13.792,471.961,reports/semantic_kitti_seq00_static/seq00_static_4700k.ply
4750000,983,536936,2216366,1996698,358.222,14.962,471.961,reports/semantic_kitti_seq00_static/seq00_static_4750k.ply
4800000,992,539008,2250775,2010217,358.222,14.962,471.961,reports/semantic_kitti_seq00_static/seq00_static_4800k.ply
4850000,1000,542269,2277938,2029793,358.222,14.962,471.961,reports/semantic_kitti_seq00_static/seq00_static_4850k.ply
4900000,1008,545258,2307088,2047654,358.222,14.962,471.961,reports/semantic_kitti_seq00_static/seq00_static_4900k.ply
4950000,1015,548865,2332094,2069041,358.222,14.962,471.961,reports/semantic_kitti_seq00_static/seq00_static_4950k.ply
5000000,1023,552253,2359605,2088142,358.222,15.616,471.961,reports/semantic_kitti_seq00_static/seq00_static_5M.ply
