x,y,z,r,g,b
17.729298,9.596884,0.172214,135,216,246
17.736910,9.672845,0.172199,135,216,246
18.164135,9.125201,0.042332,135,216,246
18.085737,9.157174,0.043322,135,216,246
17.988337,9.179151,0.043313,135,216,246
17.922134,9.181140,0.044310,135,216,246
17.895739,9.239105,0.044297,135,216,246
17.886343,9.306067,0.044282,135,216,246
17.905952,9.388025,0.043265,135,216,246
17.826553,9.417998,0.044256,135,216,246
17.768150,9.459968,0.044244,135,216,246
17.737755,9.515934,0.044231,135,216,246
17.708557,9.535919,0.044226,135,216,246
18.043036,9.079216,-0.080663,135,216,246
17.929632,9.093194,-0.079671,135,216,246
17.856232,9.127166,-0.078681,135,216,246
17.810833,9.175133,-0.078694,135,216,246
17.780640,9.194118,-0.078699,135,216,246
17.744240,9.247086,-0.078712,135,216,246
17.726845,9.309049,-0.078726,135,216,246
17.774454,9.406003,-0.079744,135,216,246
17.746058,9.462969,-0.079757,135,216,246
17.805668,9.566920,-0.081776,135,216,246
18.164318,9.088232,-0.224660,135,216,246
18.036911,9.096211,-0.222667,135,216,246
17.961508,9.130182,-0.221677,135,216,246
17.902109,9.171153,-0.220689,135,216,246
17.874716,9.228118,-0.220702,135,216,246
17.843513,9.248103,-0.220708,135,216,246
17.820120,9.307068,-0.220721,135,216,246
17.828724,9.384027,-0.221737,135,216,246
17.807331,9.443992,-0.221751,135,216,246
17.876945,9.552943,-0.223770,135,216,246
18.178226,9.110226,-0.329664,135,216,246
18.059826,9.122204,-0.326671,135,216,246
17.993425,9.160174,-0.325682,135,216,246
17.959028,9.214141,-0.325695,135,216,246
17.924637,9.267107,-0.325708,135,216,246
17.866236,9.309076,-0.324720,135,216,246
17.850040,9.336061,-0.324726,135,216,246
17.849646,9.408021,-0.325741,135,216,246
17.913254,9.513973,-0.328761,135,216,246
17.972862,9.618924,-0.330780,135,216,246
18.196289,9.106235,-0.451662,135,216,246
18.071079,9.080233,-0.447662,135,216,246
18.004679,9.118203,-0.445673,135,216,246
17.963284,9.168170,-0.445685,135,216,246
17.931885,9.224135,-0.445699,135,216,246
17.882488,9.270104,-0.444711,135,216,246
17.882097,9.341066,-0.445726,135,216,246
17.890699,9.418026,-0.447741,135,216,246
17.907503,9.463004,-0.448750,135,216,246
17.962116,9.563956,-0.451769,135,216,246
18.203165,9.130226,-0.585667,135,216,246
18.116961,9.123219,-0.582669,135,216,246
18.046562,9.159191,-0.580680,135,216,246
18.003160,9.209159,-0.580692,135,216,246
17.982769,9.270123,-0.580706,135,216,246
17.937368,9.319090,-0.579719,135,216,246
17.945976,9.395050,-0.581734,135,216,246
17.939583,9.464013,-0.582749,135,216,246
17.984388,9.523986,-0.585760,135,216,246
18.187534,9.053271,-0.704651,135,216,246
18.128136,9.095241,-0.703663,135,216,246
18.039736,9.122215,-0.700672,135,216,246
18.016537,9.146199,-0.700678,135,216,246
17.984140,9.201164,-0.699692,135,216,246
17.943743,9.252132,-0.699704,135,216,246
17.941347,9.323093,-0.700719,135,216,246
17.937954,9.393055,-0.702734,135,216,246
17.930555,9.462017,-0.703749,135,216,246
17.986366,9.526990,-0.706760,135,216,246
17.985970,9.599951,-0.708775,135,216,246
18.208878,9.000307,-0.821639,135,216,246
18.139479,9.037278,-0.819650,135,216,246
18.099083,9.088245,-0.818662,135,216,246
18.039682,9.130215,-0.817674,135,216,246
18.013485,9.152200,-0.816680,135,216,246
17.973083,9.204166,-0.815693,135,216,246
17.948687,9.263131,-0.816706,135,216,246
17.925295,9.322096,-0.816720,135,216,246
17.914896,9.389059,-0.817734,135,216,246
17.953505,9.482014,-0.821752,135,216,246
18.011114,9.584966,-0.826771,135,216,246
18.119324,9.053271,-0.947654,135,216,246
18.039921,9.085243,-0.944664,135,216,246
18.007524,9.140210,-0.944677,135,216,246
17.979328,9.161195,-0.943683,135,216,246
17.954926,9.221160,-0.944697,135,216,246
17.943533,9.286122,-0.945711,135,216,246
17.922136,9.347087,-0.945725,135,216,246
17.940744,9.429046,-0.948742,135,216,246
17.995356,9.529999,-0.954760,135,216,246
18.154869,9.152226,-1.060674,135,216,246
18.100664,9.161214,-1.058678,135,216,246
18.077269,9.221179,-1.058692,135,216,246
18.027868,9.268147,-1.057704,135,216,246
18.033474,9.343107,-1.059720,135,216,246
17.970076,9.382078,-1.057730,135,216,246
17.973682,9.456039,-1.059746,135,216,246
18.023293,9.554993,-1.065764,135,216,246
18.103100,9.633962,-1.071777,135,216,246
17.966707,9.263147,-1.195706,135,216,246
17.921310,9.311116,-1.193718,135,216,246
17.908915,9.377079,-1.195732,135,216,246
17.949524,9.470034,-1.200750,135,216,246
18.011135,9.574986,-1.207769,135,216,246
11.411106,8.895143,0.698002,99,204,213
11.376711,8.926117,0.697993,99,204,213
11.345310,8.960091,0.696984,99,204,213
11.324918,9.002062,0.697975,99,204,213
11.317523,9.055032,0.698964,99,204,213
11.403099,8.888149,0.605002,99,204,213
11.369899,8.891140,0.603999,99,204,213
11.344498,8.930113,0.603990,99,204,213
11.354113,8.995078,0.605978,99,204,213
11.400733,9.090035,0.607963,99,204,213
11.476161,8.936142,0.537998,99,204,213
11.431761,8.960119,0.537990,99,204,213
11.404559,8.968108,0.536987,99,204,213
11.376164,9.004081,0.536978,99,204,213
11.444246,8.896163,0.426004,99,204,213
11.383845,8.907143,0.425997,99,204,213
11.374451,8.958113,0.425987,99,204,213
11.365252,8.980099,0.425982,99,204,213
11.465167,8.923157,0.352000,99,204,213
11.431772,8.955132,0.351991,99,204,213
11.379563,8.944126,0.350990,99,204,213
11.371168,8.996095,0.351979,99,204,213
11.402290,8.853187,0.250009,99,204,213
11.347894,8.868166,0.249002,99,204,213
11.311492,8.898141,0.248994,99,204,213
11.328293,8.941121,0.249987,99,204,213
11.586607,8.951178,0.181003,99,204,213
11.517204,8.956160,0.180997,99,204,213
11.462805,8.972137,0.180990,99,204,213
11.456409,9.026106,0.180980,99,204,213
11.456214,9.055090,0.180974,99,204,213
11.545735,8.898202,0.087011,99,204,213
11.485332,8.910182,0.088004,99,204,213
11.447936,8.939157,0.087996,99,204,213
11.411537,8.969132,0.087987,99,204,213
11.416146,9.031099,0.087976,99,204,213
11.547770,8.893210,-0.002988,99,204,213
11.486367,8.904191,-0.001995,99,204,213
11.457966,8.941163,-0.002004,99,204,213
11.408565,8.961142,-0.002011,99,204,213
11.396175,9.009111,-0.002022,99,204,213
11.574916,8.891223,-0.104986,99,204,213
11.518514,8.906202,-0.104993,99,204,213
11.494114,8.946174,-0.105002,99,204,213
11.457717,8.976149,-0.105011,99,204,213
11.470329,9.044114,-0.106023,99,204,213
11.615767,8.944206,-0.181993,99,204,213
11.565560,8.935201,-0.180995,99,204,213
11.533159,8.969173,-0.181004,99,204,213
11.499766,9.001149,-0.181013,99,204,213
11.466366,9.034123,-0.181021,99,204,213
11.546489,8.929204,-0.267995,99,204,213
11.508089,8.958179,-0.268004,99,204,213
11.490890,8.974166,-0.268008,99,204,213
11.444491,8.996143,-0.267016,99,204,213
11.481109,9.083104,-0.269030,99,204,213
11.602500,8.970199,-0.366999,99,204,213
11.547098,8.986177,-0.366006,99,204,213
11.527895,9.001164,-0.366011,99,204,213
11.492498,9.032139,-0.365019,99,204,213
11.556345,8.955201,-0.453000,99,204,213
11.519949,8.985176,-0.452008,99,204,213
11.560753,9.047151,-0.456017,99,204,213
11.508352,9.065128,-0.454024,99,204,213
11.546416,8.935214,-0.535996,99,204,213
11.532023,8.982185,-0.537007,99,204,213
11.482618,9.003162,-0.536014,99,204,213
11.482424,9.032146,-0.537020,99,204,213
11.546528,8.917229,-0.628993,99,204,213
11.513126,8.950203,-0.629002,99,204,213
11.475732,8.979178,-0.628010,99,204,213
11.456339,9.022151,-0.629020,99,204,213
11.590207,8.998198,-0.712006,99,204,213
11.524797,9.007178,-0.710012,99,204,213
11.527605,9.038162,-0.711018,99,204,213
11.497203,9.074136,-0.711027,99,204,213
11.553313,8.951221,-0.810999,99,204,213
11.511911,8.978196,-0.810007,99,204,213
11.484516,9.015170,-0.810016,99,204,213
11.468315,9.032157,-0.810021,99,204,213
11.629400,8.997216,-0.890003,99,204,213
11.589998,9.026192,-0.889011,99,204,213
11.549596,9.054167,-0.888019,99,204,213
11.566207,9.126132,-0.892032,99,204,213
11.587543,8.941243,-0.981995,99,204,213
11.538139,8.962220,-0.980002,99,204,213
11.517741,9.005192,-0.981012,99,204,213
11.490347,9.042165,-0.981021,99,204,213
11.509953,9.117128,-0.986034,99,204,213
11.641631,8.969243,-1.070996,99,204,213
11.566232,8.969227,-1.066002,99,204,213
11.535835,9.004201,-1.066011,99,204,213
11.511436,9.044173,-1.067020,99,204,213
11.505042,9.098142,-1.069031,99,204,213
11.600776,8.914269,-1.152988,99,204,213
11.539374,8.925250,-1.148995,99,204,213
11.511979,8.962223,-1.150004,99,204,213
11.488585,9.002195,-1.150014,99,204,213
11.484186,9.058164,-1.153025,99,204,213
11.608536,8.954254,-1.249996,99,204,213
11.541334,8.931252,-1.242996,99,204,213
11.456923,8.925236,-1.236001,99,204,213
11.468534,8.992201,-1.241013,99,204,213
11.455139,9.040173,-1.243023,99,204,213
11.180708,8.882196,-1.212013,99,204,213
11.511645,8.860289,-1.325984,99,204,213
11.415231,8.845276,-1.316988,99,204,213
11.243813,8.770279,-1.298986,99,204,213
11.375636,8.901236,-1.318002,99,204,213
11.332236,8.925213,-1.316010,99,204,213
11.320843,8.974183,-1.318020,99,204,213
11.276438,8.998159,-1.316028,99,204,213
11.086621,8.963135,-1.298035,99,204,213
11.086424,8.992119,-1.300041,99,204,213
15.565093,12.890910,0.891564,178,178,93
15.327672,12.775927,0.882572,178,178,93
15.378292,12.901877,0.886557,178,178,93
15.727762,12.667043,0.762600,178,178,93
15.714186,12.778989,0.763584,178,178,93
15.566780,12.740984,0.759585,178,178,93
15.501383,12.769961,0.758579,178,178,93
15.651032,12.974893,0.765556,178,178,93
15.450609,12.892900,0.760560,178,178,93
15.308196,12.857894,0.756560,178,178,93
15.345822,12.971848,0.759546,178,178,93
15.288622,12.964843,0.757545,178,178,93
15.071049,13.112745,0.756519,178,178,93
15.008658,13.141723,0.755514,178,178,93
14.843244,13.080725,0.750516,178,178,93
14.822043,13.104712,0.750513,178,178,93
14.771653,13.143687,0.750506,178,178,93
14.726259,13.187661,0.750499,178,178,93
14.794895,13.332608,0.754484,178,178,93
14.668492,13.302603,0.751484,178,178,93
15.079202,13.759469,0.768441,178,178,93
15.511033,12.426125,0.659627,178,178,93
15.727689,12.680041,0.666599,178,178,93
15.648292,12.698022,0.665594,178,178,93
15.537887,12.691009,0.663591,178,178,93
15.370668,12.595026,0.659598,178,178,93
15.415293,12.712979,0.661584,178,178,93
15.216874,12.630986,0.656588,178,178,93
15.219489,12.714949,0.658577,178,178,93
15.404139,12.951872,0.664551,178,178,93
15.430764,13.056828,0.666538,178,178,93
15.340555,13.022831,0.664539,178,178,93
15.123135,12.920843,0.659546,178,178,93
15.057739,12.947822,0.658540,178,178,93
15.004348,12.984797,0.658534,178,178,93
14.936951,13.009775,0.657529,178,178,93
15.138609,13.268694,0.664502,178,178,93
15.242248,13.444633,0.669483,178,178,93
15.370081,13.600585,0.673467,178,178,93
15.226670,13.560581,0.670468,178,178,93
15.260299,13.676537,0.673455,178,178,93
15.057879,13.581548,0.668461,178,178,93
14.995486,13.611526,0.667456,178,178,93
14.918088,13.628507,0.666452,178,178,93
14.884702,13.684479,0.667444,178,178,93
15.545240,12.407146,0.507631,178,178,93
15.649881,12.570087,0.510612,178,178,93
15.517469,12.546079,0.508610,178,178,93
15.456078,12.577056,0.508604,178,178,93
15.543708,12.730000,0.510586,178,178,93
15.529516,12.758985,0.511581,178,178,93
15.499125,12.816954,0.511572,178,178,93
15.420732,12.833935,0.510567,178,178,93
15.384338,12.886906,0.510559,178,178,93
15.422965,13.001861,0.512545,178,178,93
15.290179,13.055817,0.511534,178,178,93
15.367999,13.164782,0.513522,178,178,93
15.271603,13.165766,0.512519,178,178,93
15.240211,13.223737,0.512510,178,178,93
15.051792,13.144742,0.509515,178,178,93
15.225450,13.379666,0.513490,178,178,93
15.480122,13.688572,0.519459,178,178,93
15.466737,13.764538,0.520450,178,178,93
15.108472,13.490602,0.513473,178,178,93
15.047075,13.522579,0.513468,178,178,93
15.272752,13.809491,0.518440,178,178,93
15.332383,13.951441,0.520425,178,178,93
15.225599,14.032393,0.520413,178,178,93
15.815466,12.581113,0.408616,178,178,93
15.647056,12.528112,0.407617,178,178,93
15.604666,12.575085,0.407609,178,178,93
15.631288,12.678041,0.407596,178,178,93
15.692910,12.810991,0.409579,178,178,93
15.702723,12.859970,0.409573,178,178,93
15.402288,12.696000,0.406586,178,178,93
15.567934,12.914927,0.408561,178,178,93
15.256497,12.738957,0.405575,178,178,93
15.135094,12.718948,0.404573,178,178,93
15.453766,13.069840,0.409537,178,178,93
15.490577,13.143814,0.409528,178,178,93
15.312164,13.075817,0.407532,178,178,93
15.189759,13.054808,0.406531,178,178,93
15.253392,13.192758,0.408515,178,178,93
15.296016,13.314711,0.409501,178,178,93
15.182614,13.300700,0.408499,178,178,93
15.110215,13.322680,0.408494,178,178,93
15.314066,13.544616,0.411473,178,178,93
15.106647,13.446627,0.408479,178,178,93
15.223284,13.637563,0.411459,178,178,93
15.398942,13.881486,0.414434,178,178,93
15.227144,13.903452,0.412428,178,178,93
15.264776,14.025407,0.413415,178,178,93
15.200572,14.011404,0.413415,178,178,93
15.621681,12.372187,0.266639,178,178,93
15.642304,12.468145,0.266626,178,178,93
15.741940,12.628088,0.267606,178,178,93
15.568520,12.572087,0.266608,178,178,93
15.499126,12.597065,0.266603,178,178,93
15.347717,12.555061,0.266603,178,178,93
15.325519,12.578049,0.266599,178,178,93
15.399152,12.718996,0.266582,178,178,93
15.507787,12.890936,0.267562,178,178,93
15.399384,12.883923,0.266560,178,178,93
15.257972,12.848917,0.266560,178,178,93
15.232585,12.909886,0.266551,178,178,93
15.225200,12.986851,0.266541,178,178,93
15.443054,13.212785,0.267518,178,178,93
15.464678,13.315743,0.267505,178,178,93
15.345275,13.297733,0.267504,178,178,93
15.276879,13.323712,0.267499,178,178,93
15.136468,13.286708,0.267499,178,178,93
15.148089,13.381669,0.267488,178,178,93
15.230919,13.496632,0.267476,178,178,93
15.187523,13.545605,0.267469,178,178,93
15.234157,13.672557,0.268455,178,178,93
15.149760,13.683541,0.267451,178,178,93
15.141376,13.763507,0.268442,178,178,93
15.197634,13.989421,0.268417,178,178,93
15.878498,12.620117,0.171612,178,178,93
15.616071,12.493136,0.171621,178,178,93
15.493667,12.476125,0.172619,178,178,93
15.416266,12.495105,0.172614,178,178,93
15.458892,12.610059,0.171599,178,178,93
15.629729,12.790004,0.171580,178,178,93
15.623347,12.866968,0.171569,178,178,93
15.573952,12.909943,0.171562,178,178,93
15.562566,12.983908,0.171552,178,178,93
15.420159,12.947903,0.171552,178,178,93
15.403776,13.016870,0.171542,178,178,93
15.313373,13.024853,0.171538,178,178,93
15.385195,13.127818,0.171527,178,178,93
15.363812,13.192787,0.171518,178,178,93
15.189395,13.127789,0.171521,178,178,93
15.269028,13.280734,0.171504,178,178,93
15.337659,13.425683,0.171488,178,178,93
15.373285,13.542638,0.171474,178,178,93
15.409910,13.661593,0.170461,178,178,93
15.434723,13.727569,0.170454,178,178,93
15.364332,13.751549,0.170449,178,178,93
15.340941,13.819517,0.170440,178,178,93
15.295552,13.866491,0.170434,178,178,93
15.609699,12.353206,0.044641,178,178,93
15.724340,12.523145,0.043621,178,178,93
15.757961,12.631101,0.042607,178,178,93
15.626549,12.609091,0.043605,178,178,93
15.504147,12.591082,0.044604,178,178,93
15.417745,12.603063,0.044599,178,178,93
15.520189,12.808987,0.043574,178,178,93
15.491801,12.867956,0.043565,178,178,93
15.409406,12.881937,0.043560,178,178,93
15.440026,12.990893,0.042547,178,178,93
15.496655,13.121844,0.041531,178,178,93
15.589289,13.284787,0.040513,178,178,93
15.434879,13.237785,0.041514,178,178,93
15.550713,13.378741,0.040500,178,178,93
15.439304,13.369729,0.040498,178,178,93
15.408918,13.428699,0.040490,178,178,93
15.372773,13.654598,0.039461,178,178,93
15.299566,13.633596,0.040461,178,178,93
15.243177,13.669574,0.040456,178,178,93
15.306806,13.814522,0.039440,178,178,93
15.311053,13.993448,0.038419,178,178,93
15.679429,12.464171,-0.079372,178,178,93
15.644228,12.477160,-0.079375,178,178,93
15.679852,12.586116,-0.080390,178,178,93
15.644463,12.639088,-0.080398,178,178,93
15.627070,12.708054,-0.081409,178,178,93
15.575680,12.748028,-0.081416,178,178,93
15.524288,12.788002,-0.080423,178,178,93
15.611110,12.900966,-0.082436,178,178,93
15.554719,12.936941,-0.082442,178,178,93
15.347297,12.847950,-0.079437,178,178,93
15.554950,13.104867,-0.084465,178,178,93
15.573570,13.204827,-0.085477,178,178,93
15.523179,13.246801,-0.085484,178,178,93
15.515794,13.325766,-0.085494,178,178,93
15.335574,13.212788,-0.082485,178,178,93
15.444210,13.391726,-0.085505,178,178,93
15.362814,13.406709,-0.084509,178,178,93
15.278415,13.418692,-0.084513,178,178,93
15.453065,13.658615,-0.088538,178,178,93
15.488690,13.777571,-0.089551,178,178,93
15.113050,13.572602,-0.083536,178,178,93
15.160676,13.702555,-0.085551,178,178,93
15.730694,12.447194,-0.220368,178,178,93
15.813320,12.594140,-0.223386,178,178,93
15.824127,12.644119,-0.224393,178,178,93
15.774737,12.686093,-0.224401,178,178,93
15.717344,12.722068,-0.223408,178,178,93
15.737964,12.821028,-0.225421,178,178,93
15.775585,12.934982,-0.227435,178,178,93
15.682190,12.940966,-0.226439,178,178,93
15.616796,12.969943,-0.225445,178,178,93
15.560592,12.965937,-0.224446,178,178,93
15.476192,12.978919,-0.223450,178,178,93
15.364790,12.968906,-0.221453,178,178,93
15.547680,13.375757,-0.229500,178,178,93
15.702328,13.594686,-0.235523,178,178,93
15.714142,13.647665,-0.236529,178,178,93
15.603736,13.639652,-0.234531,178,178,93
15.438320,13.582653,-0.231529,178,178,93
15.530964,13.749597,-0.234547,178,178,93
15.470568,13.784574,-0.234552,178,178,93
15.873627,12.576162,-0.328382,178,178,93
15.812232,12.609138,-0.328388,178,178,93
15.666823,12.575132,-0.324389,178,178,93
15.654629,12.606117,-0.324393,178,178,93
15.745258,12.761061,-0.329412,178,178,93
15.746880,12.844024,-0.330423,178,178,93
15.695487,12.884997,-0.330431,178,178,93
15.841125,13.088929,-0.336454,178,178,93
15.732721,13.083916,-0.334456,178,178,93
15.653329,13.100897,-0.332461,178,178,93
15.640136,13.131882,-0.333466,178,178,93
15.640748,13.217844,-0.334477,178,178,93
15.600357,13.268817,-0.334485,178,178,93
15.875027,13.587719,-0.345517,178,178,93
15.599593,13.438743,-0.337506,178,178,93
15.756243,13.659672,-0.344530,178,178,93
15.643034,13.604679,-0.341526,178,178,93
15.600640,13.655651,-0.341533,178,178,93
15.592257,13.735618,-0.342543,178,178,93
15.985504,12.691133,-0.454394,178,178,93
15.755079,12.591145,-0.446388,178,178,93
15.591668,12.542143,-0.441386,178,178,93
15.779510,12.733085,-0.450407,178,178,93
15.887145,12.902025,-0.456427,178,178,93
15.652717,12.796038,-0.448420,178,178,93
15.868376,13.053956,-0.459448,178,178,93
15.694960,12.995955,-0.453446,178,178,93
15.729584,13.107912,-0.456460,178,178,93
15.663190,13.136889,-0.455466,178,178,93
15.710008,13.217861,-0.458475,178,178,93
15.727629,13.317821,-0.461487,178,178,93
15.756871,13.513741,-0.465511,178,178,93
15.399417,13.294784,-0.452494,178,178,93
15.481052,13.449729,-0.457511,178,178,93
15.592504,13.675649,-0.465536,178,178,93
15.571117,13.744617,-0.466545,178,178,93
15.549731,13.813585,-0.467554,178,178,93
15.865741,12.539191,-0.581377,178,178,93
15.912366,12.657145,-0.586392,178,178,93
15.962988,12.780097,-0.590408,178,178,93
15.934600,12.840066,-0.591417,178,178,93
15.733180,12.761072,-0.583412,178,178,93
15.776999,12.837046,-0.586422,178,178,93
15.704446,13.112913,-0.591461,178,178,93
15.665062,13.162886,-0.591469,178,178,93
15.698875,13.233860,-0.593477,178,178,93
15.842515,13.440792,-0.603500,178,178,93
15.590087,13.312810,-0.592491,178,178,93
15.644714,13.444762,-0.597506,178,178,93
15.566320,13.462743,-0.595510,178,178,93
15.542934,13.528711,-0.596519,178,178,93
15.571668,12.310258,-0.685354,178,178,93
15.635295,12.440208,-0.691370,178,178,93
15.629908,12.517172,-0.693382,178,178,93
15.621524,12.591138,-0.695392,178,178,93
15.600138,12.655107,-0.696402,178,178,93
15.628945,12.720081,-0.699410,178,178,93
15.622561,12.797047,-0.701421,178,178,93
15.608174,12.868013,-0.702431,178,178,93
15.595792,12.939980,-0.704441,178,178,93
15.599410,13.025943,-0.707453,178,178,93
15.579023,13.092910,-0.708462,178,178,93
15.577640,13.175874,-0.710473,178,178,93
15.591450,13.229853,-0.712480,178,178,93
15.587064,13.311817,-0.714491,178,178,93
15.566681,13.378785,-0.716500,178,178,93
15.516287,13.421761,-0.715507,178,178,93
15.541915,13.528718,-0.719519,178,178,93
15.543529,13.617682,-0.722530,178,178,93
15.508144,13.672653,-0.722538,178,178,93
15.547960,13.751626,-0.726546,178,178,93
15.487568,13.785603,-0.725552,178,178,93
15.560616,12.309263,-0.799354,178,178,93
15.526224,12.362233,-0.800363,178,178,93
15.447830,12.379213,-0.797368,178,178,93
15.471445,12.479173,-0.801382,178,178,93
15.581076,12.649112,-0.811402,178,178,93
15.585690,12.735075,-0.814414,178,178,93
15.506487,12.711074,-0.810413,178,178,93
15.551727,12.912991,-0.818439,178,178,93
15.578344,13.018950,-0.823453,178,178,93
15.562959,13.089915,-0.824462,178,178,93
15.569839,12.267289,-0.925348,178,178,93
15.504446,12.295267,-0.923354,178,178,93
15.539068,12.402224,-0.928368,178,178,93
15.589685,12.524176,-0.935384,178,178,93
15.490286,12.525161,-0.931388,178,178,93
15.539335,12.768060,-0.941420,178,178,93
15.584959,12.888014,-0.948435,178,178,93
15.525565,12.921990,-0.946441,178,178,93
15.422163,12.918977,-0.942444,178,178,93
15.548798,13.108912,-0.954465,178,178,93
15.567393,12.355255,-1.034361,178,178,93
15.575011,12.441217,-1.038373,178,178,93
15.590630,12.534178,-1.042385,178,178,93
15.547234,12.581150,-1.042394,178,178,93
15.564856,12.676110,-1.047406,178,178,93
15.626669,12.768079,-1.053417,178,178,93
15.613281,12.840045,-1.055427,178,178,93
15.554504,12.956985,-1.057445,178,178,93
15.592127,13.071940,-1.063459,178,178,93
15.591742,13.155904,-1.067470,178,178,93
15.554611,12.296287,-1.170352,178,178,93
15.491219,12.325264,-1.168359,178,178,93
15.548842,12.451216,-1.176375,178,178,93
15.583461,12.560172,-1.183389,178,178,93
15.579079,12.637137,-1.186400,178,178,93
15.546686,12.693108,-1.187409,178,178,93
15.444475,12.651112,-1.180407,178,178,93
15.517103,12.792060,-1.190424,178,178,93
15.576734,12.923011,-1.198440,178,178,93
15.604350,13.029968,-1.205453,178,178,93
15.420938,12.959972,-1.192450,178,178,93
15.545194,13.231873,-1.211481,178,178,93
15.570008,13.294850,-1.215489,178,178,93
12.888105,12.094831,0.805573,149,93,83
12.804702,12.093818,0.803570,149,93,83
12.722300,12.092803,0.801567,149,93,83
12.662095,12.073800,0.799567,149,93,83
12.628704,12.118774,0.800560,149,93,83
12.630323,12.196740,0.801550,149,93,83
12.568927,12.214721,0.800546,149,93,83
12.495528,12.220705,0.799542,149,93,83
12.425127,12.229689,0.797538,149,93,83
12.350918,12.195690,0.795539,149,93,83
12.272515,12.195676,0.793536,149,93,83
12.188110,12.189662,0.791534,149,93,83
12.107713,12.185650,0.789531,149,93,83
12.033309,12.188634,0.787528,149,93,83
11.963914,12.194619,0.785524,149,93,83
11.866508,12.172609,0.783523,149,93,83
11.812304,12.155607,0.781523,149,93,83
11.765907,12.185586,0.781517,149,93,83
11.701511,12.195570,0.779514,149,93,83
11.628110,12.196554,0.778511,149,93,83
11.569710,12.213536,0.777506,149,93,83
11.478304,12.194527,0.774505,149,93,83
11.413905,12.203511,0.773501,149,93,83
11.353702,12.177510,0.771502,149,93,83
11.278297,12.174497,0.769499,149,93,83
11.199894,12.167484,0.767497,149,93,83
11.142497,12.182467,0.766493,149,93,83
11.052090,12.161459,0.763492,149,93,83
10.986692,12.166444,0.762488,149,93,83
10.913287,12.163430,0.760486,149,93,83
10.860080,12.143429,0.759486,149,93,83
10.793681,12.146414,0.757483,149,93,83
10.731283,12.153399,0.756480,149,93,83
10.636874,12.124393,0.753479,149,93,83
10.533463,12.084389,0.750479,149,93,83
10.463063,12.080376,0.748477,149,93,83
10.404849,12.053375,0.746477,149,93,83
10.381467,12.102350,0.747471,149,93,83
10.327066,12.117333,0.746467,149,93,83
10.253663,12.109322,0.744465,149,93,83
10.190263,12.112308,0.743463,149,93,83
10.118860,12.105295,0.741460,149,93,83
10.053459,12.105282,0.740458,149,93,83
10.008253,12.090279,0.738458,149,93,83
9.945857,12.092265,0.737455,149,93,83
9.867446,12.076255,0.735453,149,93,83
